Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Human_validation,Comment
ml17_280a_0169_part21.wav,21,1:45,0.129,0.5832,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part1.wav,1,0:05,0.1288,0.4941,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part7.wav,7,0:35,0.1287,0.5397,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0037_part31.wav,31,2:35,0.1287,0.4803,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part65.wav,65,5:25,0.1286,0.5105,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0148_part1.wav,1,0:05,0.1286,0.489,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part28.wav,28,2:20,0.1282,0.5547,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0070_part20.wav,20,1:40,0.1281,0.5512,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0061_part3.wav,3,0:15,0.1276,0.4699,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0096_part22.wav,22,1:50,0.1275,0.5132,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0168_part18.wav,18,1:30,0.1273,0.4544,⚠️ ANOMALIE,Score Isolation Forest élevé,Anomaly,
ml17_280a_0169_part22.wav,22,1:50,0.1271,0.5073,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0171_part18.wav,18,1:30,0.1269,0.5244,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0143_part65.wav,65,5:25,0.1269,0.4881,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part55.wav,55,4:35,0.1268,0.4611,⚠️ ANOMALIE,Score Isolation Forest élevé,Anomaly,
ml17_280a_0095_part30.wav,30,2:30,0.1267,0.5453,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0095_part31.wav,31,2:35,0.1267,0.5658,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
