Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml19_292a_0030_part71.wav,71,355,5:55,0.1446,RAS,,,ml19_292a_00300071
ml19_292a_0030_part72.wav,72,360,6:00,0.2294,RAS,,,ml19_292a_00300072
ml19_292a_0030_part73.wav,73,365,6:05,0.4328,ANOMALIE,,,ml19_292a_00300073
ml19_292a_0030_part74.wav,74,370,6:10,0.1202,RAS,,,ml19_292a_00300074
ml19_292a_0030_part75.wav,75,375,6:15,0.2794,ANOMALIE,,,ml19_292a_00300075
ml19_292a_0030_part76.wav,76,380,6:20,0.2139,RAS,,,ml19_292a_00300076
ml19_292a_0030_part77.wav,77,385,6:25,0.128,RAS,,,ml19_292a_00300077
ml19_292a_0030_part78.wav,78,390,6:30,0.2713,ANOMALIE,,,ml19_292a_00300078
ml19_292a_0030_part79.wav,79,395,6:35,0.0983,RAS,,,ml19_292a_00300079
ml19_292a_0030_part80.wav,80,400,6:40,0.1171,RAS,,,ml19_292a_00300080
ml19_292a_0030_part81.wav,81,405,6:45,0.1578,RAS,,,ml19_292a_00300081
ml19_292a_0030_part82.wav,82,410,6:50,0.2659,ANOMALIE,,,ml19_292a_00300082
ml19_292a_0030_part83.wav,83,415,6:55,0.1506,RAS,,,ml19_292a_00300083
ml19_292a_0030_part84.wav,84,420,7:00,0.1259,RAS,,,ml19_292a_00300084
ml19_292a_0030_part85.wav,85,425,7:05,0.1587,RAS,,,ml19_292a_00300085
ml19_292a_0030_part86.wav,86,430,7:10,0.1445,RAS,,,ml19_292a_00300086
ml19_292a_0030_part87.wav,87,435,7:15,0.1522,RAS,,,ml19_292a_00300087
ml19_292a_0030_part88.wav,88,440,7:20,0.1085,RAS,,,ml19_292a_00300088
ml19_292a_0030_part89.wav,89,445,7:25,0.1039,RAS,,,ml19_292a_00300089
ml19_292a_0030_part90.wav,90,450,7:30,0.1578,RAS,,,ml19_292a_00300090
ml19_292a_0030_part91.wav,91,455,7:35,0.1861,RAS,,,ml19_292a_00300091
ml19_292a_0030_part92.wav,92,460,7:40,0.1367,RAS,,,ml19_292a_00300092
ml19_292b_0026_part0.wav,0,0,0:00,0.1387,RAS,,,ml19_292b_00260000
ml19_292b_0026_part1.wav,1,5,0:05,0.1464,RAS,,,ml19_292b_00260001
ml19_292b_0026_part2.wav,2,10,0:10,0.1587,RAS,,,ml19_292b_00260002
ml19_292b_0026_part3.wav,3,15,0:15,0.1218,RAS,,,ml19_292b_00260003
ml19_292b_0026_part4.wav,4,20,0:20,0.1983,RAS,,,ml19_292b_00260004
ml19_292b_0026_part5.wav,5,25,0:25,0.1373,RAS,,,ml19_292b_00260005
