Source Audio,Part,Start(sec),Start (min:sec),Distance,Status,Human_validation,Comment
ml17_280a_0096_part3.wav,3,15,0:15,0.4792,Anomaly,To_validate,
ml17_280a_0084_part62.wav,62,310,5:10,0.4792,Anomaly,To_validate,
ml17_280a_0145_part32.wav,32,160,2:40,0.4791,Anomaly,To_validate,
ml17_280a_0085_part4.wav,4,20,0:20,0.4788,Anomaly,To_validate,
ml17_280a_0083_part45.wav,45,225,3:45,0.4784,Anomaly,To_validate,
ml17_280a_0168_part9.wav,9,45,0:45,0.4783,Anomaly,To_validate,
ml17_280a_0081_part30.wav,30,150,2:30,0.4781,Anomaly,To_validate,
ml17_280a_0096_part2.wav,2,10,0:10,0.478,Anomaly,To_validate,
ml17_280a_0069_part53.wav,53,265,4:25,0.478,Anomaly,To_validate,
ml17_280a_0039_part48.wav,48,240,4:00,0.478,Anomaly,To_validate,
ml17_280a_0085_part5.wav,5,25,0:25,0.477,Anomaly,To_validate,
ml17_280a_0126_part49.wav,49,245,4:05,0.4764,Anomaly,Anomaly,
ml17_280a_0139_part59.wav,59,295,4:55,0.4763,Anomaly,Anomaly,
ml17_280a_0167_part62.wav,62,310,5:10,0.4762,Anomaly,To_validate,
ml17_280a_0148_part4.wav,4,20,0:20,0.4758,Anomaly,To_validate,
ml17_280a_0084_part11.wav,11,55,0:55,0.4756,Anomaly,To_validate,
ml17_280a_0081_part29.wav,29,145,2:25,0.4756,Anomaly,To_validate,
ml17_280a_0084_part21.wav,21,105,1:45,0.4755,Anomaly,To_validate,
ml17_280a_0069_part61.wav,61,305,5:05,0.4754,Anomaly,To_validate,
ml17_280a_0082_part30.wav,30,150,2:30,0.4754,Anomaly,To_validate,
ml17_280a_0137_part28.wav,28,140,2:20,0.4753,Anomaly,To_validate,
ml17_280a_0086_part38.wav,38,190,3:10,0.4752,Anomaly,To_validate,
ml17_280a_0139_part16.wav,16,80,1:20,0.4751,Anomaly,To_validate,
ml17_280a_0099_part43.wav,43,215,3:35,0.4746,Anomaly,To_validate,
ml17_280a_0039_part19.wav,19,95,1:35,0.4743,Anomaly,To_validate,
ml17_280a_0143_part42.wav,42,210,3:30,0.4743,Anomaly,To_validate,
ml17_280a_0081_part35.wav,35,175,2:55,0.4742,Anomaly,To_validate,
ml17_280a_0098_part11.wav,11,55,0:55,0.4739,Anomaly,To_validate,
ml17_280a_0081_part1.wav,1,5,0:05,0.4738,Anomaly,To_validate,
ml17_280a_0083_part21.wav,21,105,1:45,0.473,Anomaly,To_validate,
ml17_280a_0033_part35.wav,35,175,2:55,0.4725,Anomaly,To_validate,
ml17_280a_0154_part25.wav,25,125,2:05,0.4714,Anomaly,To_validate,
ml17_280a_0083_part11.wav,11,55,0:55,0.4712,Anomaly,To_validate,
ml17_280a_0098_part65.wav,65,325,5:25,0.471,Anomaly,To_validate,
ml17_280a_0051_part8.wav,8,40,0:40,0.4706,Anomaly,To_validate,
ml17_280a_0140_part11.wav,11,55,0:55,0.4702,Anomaly,To_validate,
ml17_280a_0081_part54.wav,54,270,4:30,0.4688,Anomaly,To_validate,
