Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml17_280a_0083_part59.wav,59,295,4:55,0.183,RAS
ml19_294a_0011_part19.wav,19,95,1:35,0.1826,RAS
ml18_294b_0013_part36.wav,36,180,3:00,0.1826,RAS
ml19_294a_0011_part45.wav,45,225,3:45,0.1821,RAS
ml17_280a_0144_part127.wav,127,635,10:35,0.1817,RAS
ml18_294b_0042_part15.wav,15,75,1:15,0.1813,RAS
ml17_280a_0088_part30.wav,30,150,2:30,0.1813,RAS
ml19_293a_0015_part107.wav,107,535,8:55,0.1812,RAS
ml17_280a_0144_part12.wav,12,60,1:00,0.1811,RAS
ml19_294a_0011_part34.wav,34,170,2:50,0.1807,RAS
ml19_292b_0026_part43.wav,43,215,3:35,0.1806,RAS
ml18_296a_0007_part14.wav,14,70,1:10,0.1804,RAS
ml19_292b_0026_part122.wav,122,610,10:10,0.1803,RAS
ml19_292b_0026_part54.wav,54,270,4:30,0.1801,RAS
ml17_280a_0144_part79.wav,79,395,6:35,0.1796,RAS
ml19_293a_0015_part109.wav,109,545,9:05,0.1796,RAS
ml18_294b_0076_part48.wav,48,240,4:00,0.1795,RAS
ml19_292a_0007_part23.wav,23,115,1:55,0.1793,RAS
ml19_293a_0015_part18.wav,18,90,1:30,0.1791,RAS
ml19_294a_0011_part38.wav,38,190,3:10,0.1791,RAS
ml19_292b_0026_part97.wav,97,485,8:05,0.1785,RAS
ml19_293a_0066_part73.wav,73,365,6:05,0.1783,RAS
ml19_293a_0066_part14.wav,14,70,1:10,0.1783,RAS
ml19_293a_0066_part91.wav,91,455,7:35,0.1781,RAS
ml19_294a_0011_part35.wav,35,175,2:55,0.1779,RAS
ml17_280a_0144_part156.wav,156,780,13:00,0.1779,RAS
ml18_294b_0013_part65.wav,65,325,5:25,0.1776,RAS
ml19_292b_0026_part61.wav,61,305,5:05,0.1775,RAS
ml17_280a_0144_part24.wav,24,120,2:00,0.1773,RAS
ml19_292a_0007_part15.wav,15,75,1:15,0.1772,RAS
ml19_292b_0026_part99.wav,99,495,8:15,0.1772,RAS
ml19_292b_0026_part94.wav,94,470,7:50,0.1771,RAS
ml19_292b_0026_part71.wav,71,355,5:55,0.1771,RAS
